"codigo_ibge","safra_soja","latitude","longitude","area_total","n_sinistros","n_apolices","sum_indenizacao_total","sum_total_premios","tipo_solo","awc_ana","area_total_irrigada_fertigada_percentual","X","PC_Prec_1","PC_Prec_2","PC_Prec_3","PC_Prec_4","PC_Temp_1","PC_Temp_2"
4300034,1,-31.8665,-54.1615,3051.83,0,26,0,317256.71,"MEo",0.140868950739829,0.0490943984909664,186,-4.03115853683713,0.583102244712788,1.53864588349624,0.755617812554775,3.31891677275287,-1.41319496226333
4300034,2,-31.8665,-54.1615,7162.55,17,47,5029784.26838088,939356.04,"MEo",0.140868950739829,0.0490943984909664,187,-0.915950009836981,0.0904931171412695,-1.13968193466629,0.310016399402517,4.25214885468381,-1.74609723920795
4300034,6,-31.8665,-54.1615,9507.61,21,81,3962882.54547709,4093795.01,"MEo",0.140868950739829,0.0490943984909664,191,-0.0215806663169176,0.0111700157221557,0.00387175910076651,-0.00388316962628865,1.2085937799494,0.168028886019432
5200134,2,-17.396,-50.3749,2927.95,3,16,895011.136104122,403608.53,"LVdf",0.114998207681432,0.0441779142972524,219,0.0243911441404157,0.0119535462024052,0.00295660978714924,0.00307494702562804,-1.40772672486036,-0.42013786082207
5200134,3,-17.396,-50.3749,5597.49,13,26,5278534.75852511,819657.86,"LVdf",0.114998207681432,0.0441779142972524,220,2.97517580203171,-1.09734045192416,0.810050648700296,-0.443212640708658,-3.68747758938145,0.352459021160638
5200134,6,-17.396,-50.3749,15079.87,2,101,425592.86316418,4261330.98,"LVdf",0.114998207681432,0.0441779142972524,223,0.0315924499436784,0.00212181736630538,-0.00469643574748179,0.0032958441071678,-1.28940180538104,-0.370768877169894
3500105,1,-21.682,-51.0737,0,0,0,0,NA,"PVAe",0.0639494218453695,0.252408733222641,242,0.0046135107855019,0.00280947553861509,0.010659633815955,0.0011106023986284,-1.16376046861701,-0.936459301812318
3500105,2,-21.682,-51.0737,40,0,1,0,5331.92,"PVAe",0.0639494218453695,0.252408733222641,243,-0.107787258702219,1.20524193788677,0.0207353006224179,-0.102137648328164,-2.49567948886994,-1.60155573674096
3500105,3,-21.682,-51.0737,0,0,0,0,NA,"PVAe",0.0639494218453695,0.252408733222641,244,0.321477357013753,0.772944902804531,0.231420197765404,-0.318926987101955,-2.36579992841081,-0.554815397852179
3500105,4,-21.682,-51.0737,188.3,0,1,0,30097.87,"PVAe",0.0639494218453695,0.252408733222641,245,-0.154899712614056,1.49726167899621,-0.027029286452984,0.927755953207663,-2.83027993315947,-1.56977408883374
